Category,Part Number,Description,Manufacturer,Quantity,Unit Voltage (V),Typical Current (mA),Peak/Design Current (mA),Source/Notes,Unit Price (CNY),Status
MCU,ESP32-C6-DevKitC-1-N16,ESP32-C6 development board; seller marks N16 16MB Flash,Espressif module / seller board,1,5.0 (USB),80,350,Actual board revision and 16MB Flash must be verified on first connection,,Purchased (verification pending)
Radar,HLK-LD2410C-P,24GHz mmWave presence module with TX/RX/OUT/GND/VCC pins,HLKTech,1,5.0 supply / 3.3 IO,79,200,Local V1.09 manuals; UART 256000 baud; input supply capability must exceed 200mA,,Purchased
Env Sensor,AM2302 (DHT22),Calibrated digital temperature/humidity sensor; single-wire data,Generic / Aosong compatible,1,3.3,0.3,0.5,On hand; minimum 2s read interval; use 5s task period; keep away from board heat sources,,On hand
Button,DevKitC-1 onboard Boot button,Use board Boot button as user button,N/A,1,3.3,N/A,N/A,GPIO 9 active-low; no extra purchase needed,0,Frozen
RGB LED,DevKitC-1 onboard addressable RGB,Board-integrated RGB LED on GPIO8,Board integrated,1,Board integrated,20,60,Confirmed by official DevKitC-1 guide; no external LED required,0,Purchased with board
Power,USB-C 5V/2A adapter,USB-C power supply 5V 2A,Generic,1,5.0,N/A,N/A,Minimum 1A required; use a USB cable with data support,,Planned
Wiring,Dupont wires M-F 20cm,40-pin dupont jumper wires,Generic,1,N/A,N/A,N/A,For breadboard connections,5,Frozen
Wiring,Breadboard 830-point,Standard solderless breadboard,Generic,1,N/A,N/A,N/A,Prototype assembly,8,Frozen
Data Pull-up,5.1kΩ resistor 1/4W,DHT22 DATA pull-up resistor,Generic,1,N/A,N/A,N/A,Pull DATA to 3.3V; verify whether the owned module already integrates it,,Verify on hand
I2C Pull-up,4.7kΩ resistor 1/4W,Optional external I2C bus pull-up,Generic,2,N/A,N/A,N/A,Use only if OLED board does not provide suitable SDA/SCL pull-ups; pull to 3.3V,,Verify on module
Display,SSD1306 OLED 0.96 inch 128x64,I2C OLED display module,Generic,1,3.3,12,20,On hand; expected 7-bit addr 0x3C; confirm by bus scan,,On hand
Optional,LM393 photoresistor module,Digital threshold and analog relative-light outputs,Generic,1,3.3,TBD,TBD,On hand; first version leaves unpopulated; DO can be used for later dark/bright gating,,On hand / deferred
Optional,SCD40,CO2 sensor module I2C,Sensirion,1,3.3,3,30,I2C addr 0x62 fixed; not required for first version,80,Optional
Future Upgrade,BH1750,Calibrated ambient light sensor module I2C,ROHM,1,3.3,0.12,0.18,Do not purchase for first version; consider only if calibrated lux is later required,8,Not planned
Optional,3D printed enclosure,Custom PLA enclosure for prototype,N/A,1,N/A,N/A,N/A,Not blocking first integration,0,Optional
